stop_lat,stop_code,stop_lon,timepoint,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
43.052708,5529,-87.9234134,0,,5529,,WALNUT & N850,0,
43.0546871,5543,-87.9574106,1,,5543,,LISBON & N35,0,
43.069126,1248,-87.9052156,0,,1248,,HOLTON & HADLEY,0,
43.060598,2198,-87.977743,1,,2198,,NORTH & N51,0,
43.0129288,2459,-88.0004612,0,,2459,,NATIONAL & S70,0,
43.0124976,2458,-88.0027828,0,,2458,,NATIONAL & S72,0,
43.1684776,9538,-88.0441254,0,,9538,,N107 & VILLA,0,
43.0112186,2455,-88.009822,0,,2455,,NATIONAL & S78,0,
43.0105877,2454,-88.0132907,0,,2454,,NATIONAL & S81,0,
43.0121175,2457,-88.0050505,0,,2457,,NATIONAL & S74,0,
43.0116188,2456,-88.0076024,1,,2456,,NATIONAL & S76,0,
42.908771,2451,-87.9204116,0,,2451,,S6 & MARQUETTE,0,
43.0064621,2450,-88.0245436,0,,2450,,NATIONAL & S90,0,
43.0403739,9530,-87.9271377,1,,9530,,N12 & WELLS,0,
43.126899,178,-88.0258953,1,,178,,N91 & N6000,0,
43.1322996,176,-88.0257327,0,,176,,N91 & BENDER,0,
43.1342087,175,-88.0256702,1,,175,,N91 & MILL,0,
43.1382214,174,-88.0256206,0,,174,,N91 & ACACIA,0,
43.1414126,173,-88.0255508,0,,173,,N91 & DENVER,0,
43.1440203,172,-88.025511,0,,172,,N91 & DALLAS,0,
43.1438393,170,-88.0250739,0,,170,,N91 & DALLAS,0,
43.0607443,3698,-87.9497443,0,,3698,,NORTH & N29,0,
43.0169549,2050,-87.914347,0,,2050,,GREENFIELD & S3,0,
43.0359284,2055,-87.9332247,1,,2055,,CLYBOURN & N16,0,
43.0604637,4539,-87.8980064,1,,4539,,HUMBOLDT & NORTH,0,
43.0307185,2057,-87.9330887,0,,2057,,N16 & CANAL,0,
43.0350629,2056,-87.9330691,0,,2056,,N16 & STPAUL,0,
43.0748131,4534,-87.8978798,0,,4534,,HUMBOLDT & BURLEIGH,0,
43.0605196,3691,-87.9349034,0,,3691,,NORTH & N18,0,
43.119153,4824,-87.9397164,0,,4824,,SILVER SPRING & CRESTWOOD,0,
